viewCount,likeCount,dislikeCount,favoriteCount,commentCount
132408341,675124,42438,132408341,69667
10170812,339902,7598,10170812,4851
7883131,38541,1275,7883131,3785
976550893,6270999,480385,976550893,246485
18791532,215444,26948,18791532,31860
1345308,6065,507,1345308,1305
21175825,76909,3336,21175825,8600
35587922,610649,12718,35587922,41485
30281494,178805,7504,30281494,6152
205838195,910789,29234,205838195,30101
51431174,268305,7699,51431174,17520
14427126,61821,1692,14427126,3439
33893787,328932,12366,33893787,11209
16835043,81448,3047,16835043,8637
69870885,514823,15132,69870885,16567
3840428,19214,1375,3840428,1462
760374,2378,188,760374,340
56191105,551411,16723,56191105,24747
34249956,225433,3523,34249956,17744
346014,1939,133,346014,100
23573945,140760,4554,23573945,4330
195970494,1013255,34396,195970494,17269
17403844,100171,4267,17403844,5626
41308838,323349,6057,41308838,14265
104997706,331521,13405,104997706,19882
76398075,486775,14918,76398075,32794
66016252,841140,18488,66016252,29997
9792018,102918,1857,9792018,2852
29716455,59584,18939,29716455,2404
104997706,331521,13405,104997706,19882
66016252,841140,18488,66016252,29997
45449823,132280,4678,45449823,10456
108707161,408991,14484,108707161,13153
22272350,185094,9073,22272350,14037
4903063,59517,3278,4903063,9238
17395577,71435,1926,17395577,3534
58067380,616841,14481,58067380,42355
997418,1328,70,997418,431
-1,-1,-1,-1,-1
2220493,15043,755,2220493,734
43495997,228358,8598,43495997,9646
962317,6727,608,962317,809
66995782,250491,9046,66995782,11064
17543965,98443,3870,17543965,8226
80720102,349107,12475,80720102,16121
21518748,168144,6483,21518748,10909
21979520,247143,3548,21979520,12376
37172625,437333,6143,37172625,15098
1219769,767,108,1219769,89
34498736,191896,89136,34498736,32498
59446474,265698,10537,59446474,29246
15718930,313277,8336,15718930,13170
175622867,1096137,124086,175622867,59267
9716746,69864,1184,9716746,1557
-1,-1,-1,-1,-1
135436053,591594,17757,135436053,22143
-1,-1,-1,-1,-1
19938581,356700,6836,19938581,20710
-1,-1,-1,-1,-1
5723809,28237,716,5723809,3460
64920617,555944,9801,64920617,18031
22979913,81872,3151,22979913,111
52009414,465667,10419,52009414,18379
69762175,275022,11956,69762175,12123
51155891,216709,5619,51155891,7382
170897424,756491,41211,170897424,29768
7827937,270344,2105,7827937,14730
8312611,143453,3757,8312611,3425
67639097,289823,34966,67639097,42542
57234567,310781,8395,57234567,11451
167766073,915182,27656,167766073,127252
15007764,155038,4874,15007764,5432
26666105,91777,3861,26666105,8933
51634003,226094,8562,51634003,12854
4325421,3625,336,4325421,204
52712925,149984,5237,52712925,6967
39917228,255114,5658,39917228,18116
138086270,579622,22433,138086270,34785
44673811,327974,9130,44673811,24054
31624106,172850,7478,31624106,8002
27780537,136852,96453,27780537,36012
5532916,77531,2075,5532916,6210
86280,241,41,86280,25
1326324,15007,424,1326324,1072
2440097,30429,661,2440097,1502
1207510,3137,442,1207510,140
1628657,5717,407,1628657,670
49510834,594636,10228,49510834,16049
16671099,147112,2808,16671099,3619
2509973,3644,1457,2509973,458
50467565,214668,6777,50467565,6620
7573604,3996,274,7573604,218
207439,2415,59,207439,173
6116352,39651,1451,6116352,4054
33646566,308843,7054,33646566,19108
3980845,14913,433,3980845,2205
9247189,204885,3567,9247189,17606
1923688,6107,487,1923688,658
60223761,512618,9736,60223761,4609
62465960,374225,18518,62465960,9729
11763667,103526,1703,11763667,19232
108096476,449970,15755,108096476,31367
201474023,596054,15601,201474023,35302
-1,-1,-1,-1,-1
7541239,168917,2523,7541239,2867
196906,863,50,196906,166
1111774,7082,108,1111774,276
692376,9903,135,692376,1038
195813,273,129,195813,4
26098485,183203,5752,26098485,17949
-1,-1,-1,-1,-1
14230001,85058,3545,14230001,2488
56815,1291,31,56815,262
36580296,325606,21524,36580296,24474
120569661,365262,16167,120569661,24134
66729,949,66,66729,193
33929384,251037,6002,33929384,17119
256553,946,272,256553,19
14466513,78121,2252,14466513,6997
51460430,330555,8027,51460430,22415
12352,25,6,12352,8
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
5907172,22827,1242,5907172,3369
24369697,843928,8605,24369697,38813
4834169,45856,2270,4834169,5903
3463553,77418,1554,3463553,6536
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
4834169,45856,2270,4834169,5903
-1,-1,-1,-1,-1
12565755,85185,6535,12565755,4551
69057271,380160,25393,69057271,27019
-1,-1,-1,-1,-1
17907428,160069,10819,17907428,14514
56815,1291,31,56815,262
10619438,82705,2567,10619438,14771
-1,-1,-1,-1,-1
20869863,135153,4611,20869863,5471
154068,642,34,154068,25
22960044,120578,1666,22960044,10469
2640169,16847,1637,2640169,1126
7261595,23600,619,7261595,2689
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
38667903,305255,12222,38667903,52190
8353791,34124,1379,8353791,3193
30707452,150383,6212,30707452,11404
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
17345099,29653,2388,17345099,2350
22494582,174127,7624,22494582,11023
149897,305,104,149897,28
-1,-1,-1,-1,-1
1858634,4895,1411,1858634,3263
2029045,2203,851,2029045,170
-1,-1,-1,-1,-1
22726319,25458,1107,22726319,446
-1,-1,-1,-1,-1
164816,428,34,164816,88
-1,-1,-1,-1,-1
1211966,1934,737,1211966,92
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
18223,40,1,18223,7
1710805,1096,546,1710805,55
37497278,334,129,37497278,48
11155,80,2,11155,5
-1,-1,-1,-1,-1
253672,208,10,253672,5
73837,135,26,73837,74
54818,131,22,54818,10
15834213,119955,7530,15834213,6226
-1,-1,-1,-1,-1
139765,458,20,139765,129
-1,-1,-1,-1,-1
210124,431,8,210124,92
308499,1528,54,308499,127
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
197212,663,22,197212,135
15834213,119955,7530,15834213,6226
53535,14,0,53535,0
164816,428,34,164816,88
-1,-1,-1,-1,-1
114700,178,17,114700,43
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
61638,358,12,61638,47
-1,-1,-1,-1,-1
745,29,2,745,0
1962983,3164,56,1962983,288
87961,214,8,87961,16
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
489836,2437,40,489836,59
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
176373,5629,37,176373,437
303584,1318,69,303584,53
50772,73,2,50772,8
-1,-1,-1,-1,-1
792757,7968,247,792757,782
50662,132,17,50662,6
791889,6114,135,791889,731
2702266,73369,860,2702266,4966
75376,48,5,75376,2
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
